"Date","Price","Open","High","Low","Change %"
"Jul 30, 2021","1.1870","1.1888","1.1910","1.1851","-0.13%"
"Jul 29, 2021","1.1886","1.1845","1.1894","1.1840","0.37%"
"Jul 28, 2021","1.1842","1.1817","1.1851","1.1773","0.24%"
"Jul 27, 2021","1.1814","1.1804","1.1841","1.1769","0.13%"
"Jul 26, 2021","1.1799","1.1778","1.1818","1.1763","0.24%"
"Jul 23, 2021","1.1771","1.1769","1.1788","1.1753","0.01%"
"Jul 22, 2021","1.1770","1.1793","1.1831","1.1757","-0.19%"
"Jul 21, 2021","1.1792","1.1782","1.1805","1.1752","0.11%"
"Jul 20, 2021","1.1779","1.1801","1.1805","1.1755","-0.16%"
"Jul 19, 2021","1.1798","1.1808","1.1825","1.1763","-0.06%"
"Jul 16, 2021","1.1805","1.1814","1.1823","1.1791","-0.06%"
"Jul 15, 2021","1.1812","1.1837","1.1852","1.1796","-0.19%"
"Jul 14, 2021","1.1835","1.1776","1.1839","1.1772","0.52%"
"Jul 13, 2021","1.1774","1.1862","1.1876","1.1772","-0.72%"
"Jul 12, 2021","1.1859","1.1872","1.1881","1.1836","-0.12%"
"Jul 09, 2021","1.1873","1.1844","1.1882","1.1825","0.26%"
"Jul 08, 2021","1.1842","1.1792","1.1868","1.1783","0.45%"
"Jul 07, 2021","1.1789","1.1823","1.1839","1.1782","-0.28%"
"Jul 06, 2021","1.1822","1.1863","1.1896","1.1806","-0.33%"
"Jul 05, 2021","1.1861","1.1862","1.1882","1.1851","-0.03%"
"Jul 02, 2021","1.1864","1.1849","1.1875","1.1806","0.14%"
"Jul 01, 2021","1.1848","1.1859","1.1885","1.1837","-0.06%"
